,period,period_end,pv_estimate
270,PT30M,2020-09-30T09:30:00.0000000Z,1.759
271,PT30M,2020-09-30T10:00:00.0000000Z,1.313
272,PT30M,2020-09-30T10:30:00.0000000Z,0.859
273,PT30M,2020-09-30T11:00:00.0000000Z,0.387
274,PT30M,2020-09-30T11:30:00.0000000Z,0.059
275,PT30M,2020-09-30T12:00:00.0000000Z,0.0
276,PT30M,2020-09-30T12:30:00.0000000Z,0.0
277,PT30M,2020-09-30T13:00:00.0000000Z,0.0
278,PT30M,2020-09-30T13:30:00.0000000Z,0.0
279,PT30M,2020-09-30T14:00:00.0000000Z,0.0
280,PT30M,2020-09-30T14:30:00.0000000Z,0.0
281,PT30M,2020-09-30T15:00:00.0000000Z,0.0
282,PT30M,2020-09-30T15:30:00.0000000Z,0.0
283,PT30M,2020-09-30T16:00:00.0000000Z,0.0
284,PT30M,2020-09-30T16:30:00.0000000Z,0.0
285,PT30M,2020-09-30T17:00:00.0000000Z,0.0
286,PT30M,2020-09-30T17:30:00.0000000Z,0.0
287,PT30M,2020-09-30T18:00:00.0000000Z,0.0
288,PT30M,2020-09-30T18:30:00.0000000Z,0.0
289,PT30M,2020-09-30T19:00:00.0000000Z,0.0
290,PT30M,2020-09-30T19:30:00.0000000Z,0.0
291,PT30M,2020-09-30T20:00:00.0000000Z,0.0
292,PT30M,2020-09-30T20:30:00.0000000Z,0.0
293,PT30M,2020-09-30T21:00:00.0000000Z,0.0
294,PT30M,2020-09-30T21:30:00.0000000Z,0.0
295,PT30M,2020-09-30T22:00:00.0000000Z,0.0
296,PT30M,2020-09-30T22:30:00.0000000Z,0.0
297,PT30M,2020-09-30T23:00:00.0000000Z,0.0
298,PT30M,2020-09-30T23:30:00.0000000Z,0.0
299,PT30M,2020-10-01T00:00:00.0000000Z,0.011
300,PT30M,2020-10-01T00:30:00.0000000Z,0.18
301,PT30M,2020-10-01T01:00:00.0000000Z,0.573
302,PT30M,2020-10-01T01:30:00.0000000Z,1.01
303,PT30M,2020-10-01T02:00:00.0000000Z,1.481
304,PT30M,2020-10-01T02:30:00.0000000Z,1.91
305,PT30M,2020-10-01T03:00:00.0000000Z,2.337
306,PT30M,2020-10-01T03:30:00.0000000Z,2.733
307,PT30M,2020-10-01T04:00:00.0000000Z,3.037
308,PT30M,2020-10-01T04:30:00.0000000Z,3.296
309,PT30M,2020-10-01T05:00:00.0000000Z,3.435
310,PT30M,2020-10-01T05:30:00.0000000Z,3.432
311,PT30M,2020-10-01T06:00:00.0000000Z,3.376
312,PT30M,2020-10-01T06:30:00.0000000Z,3.289
313,PT30M,2020-10-01T07:00:00.0000000Z,3.156
314,PT30M,2020-10-01T07:30:00.0000000Z,2.975
315,PT30M,2020-10-01T08:00:00.0000000Z,2.76
316,PT30M,2020-10-01T08:30:00.0000000Z,2.502
317,PT30M,2020-10-01T09:00:00.0000000Z,2.195
318,PT30M,2020-10-01T09:30:00.0000000Z,1.832
319,PT30M,2020-10-01T10:00:00.0000000Z,1.418
320,PT30M,2020-10-01T10:30:00.0000000Z,0.923
321,PT30M,2020-10-01T11:00:00.0000000Z,0.437
322,PT30M,2020-10-01T11:30:00.0000000Z,0.061
323,PT30M,2020-10-01T12:00:00.0000000Z,0.0
324,PT30M,2020-10-01T12:30:00.0000000Z,0.0
325,PT30M,2020-10-01T13:00:00.0000000Z,0.0
326,PT30M,2020-10-01T13:30:00.0000000Z,0.0
327,PT30M,2020-10-01T14:00:00.0000000Z,0.0
328,PT30M,2020-10-01T14:30:00.0000000Z,0.0
329,PT30M,2020-10-01T15:00:00.0000000Z,0.0
330,PT30M,2020-10-01T15:30:00.0000000Z,0.0
331,PT30M,2020-10-01T16:00:00.0000000Z,0.0
332,PT30M,2020-10-01T16:30:00.0000000Z,0.0
333,PT30M,2020-10-01T17:00:00.0000000Z,0.0
334,PT30M,2020-10-01T17:30:00.0000000Z,0.0
335,PT30M,2020-10-01T18:00:00.0000000Z,0.0
